# Distance (Ang)      Number Integral (atoms)     RDF (unitless)
11.35 124.493 0.985631
11.4 126.112 0.978384
11.45 127.736 0.972786
11.5 129.372 0.971753
11.55 131.018 0.968809
11.6 132.68 0.969964
11.65 134.379 0.983081
11.7 136.073 0.971994
11.75 137.783 0.972342
11.8 139.5 0.968097
11.85 141.23 0.967496
11.9 142.978 0.969583
11.95 144.738 0.967831
12 146.523 0.973103
12.05 148.323 0.973115
12.1 150.181 0.996587
12.15 152.023 0.979878
12.2 153.877 0.977746
12.25 155.747 0.978552
12.3 157.626 0.974864
12.35 159.524 0.977085
12.4 161.437 0.976747
12.45 163.366 0.977102
12.5 165.321 0.982507
12.55 167.295 0.983523
12.6 169.285 0.984074
12.65 171.298 0.987738
12.7 173.336 0.991831
12.75 175.393 0.993227
12.8 177.474 0.997041
12.85 179.57 0.996455
12.9 181.686 0.998172
12.95 183.838 1.0074
13 185.995 1.00189
13.05 188.183 1.00829
13.1 190.39 1.00956
13.15 192.623 1.01354
13.2 194.874 1.01412
13.25 197.154 1.01896
13.3 199.452 1.01994
13.35 201.817 1.04134
13.4 204.158 1.02308
13.45 206.516 1.02323
13.5 208.886 1.02049
13.55 211.278 1.02266
13.6 213.685 1.02117
13.65 216.115 1.02359
13.7 218.554 1.01986
13.75 221.042 1.03257
13.8 223.506 1.01562
13.85 225.992 1.01697
13.9 228.479 1.01
13.95 230.981 1.009
14 233.505 1.01056
14.05 236.037 1.00637
14.1 238.606 1.01431
14.15 241.164 1.00228
14.2 243.741 1.00304
14.25 246.327 0.99935
14.3 248.928 0.997993
14.35 251.548 0.99827
14.4 254.183 0.99716
14.45 256.856 1.00437
14.5 259.529 0.997641
